,Country,Region,Population,Area,Pop. Density,Infant mortality (per 1000 births),GDP ($ per capita),Birthrate,Deathrate
0,Angola,SUB-SAHARAN AFRICA,12127071.0,1246700,9.7,191.19,1900.0,45.11,24.2
1,Afghanistan,ASIA,,647500,15.3,163.07,700.0,46.6,20.34
2,Sierra Leone,SUB-SAHARAN AFRICA,6005250.0,71740,83.7,143.64,500.0,45.76,23.03
3,Mozambique,SUB-SAHARAN AFRICA,19686505.0,801590,24.6,130.79,1200.0,35.18,21.35
4,Liberia,SUB-SAHARAN AFRICA,3042004.0,111370,27.3,128.87,1000.0,44.77,23.1
5,Niger,SUB-SAHARAN AFRICA,12525094.0,1267000,9.9,121.69,800.0,50.73,20.91
6,Mali,SUB-SAHARAN AFRICA,,1240000,9.5,116.79,900.0,49.82,16.89
7,Somalia,SUB-SAHARAN AFRICA,8863338.0,637657,13.9,116.7,500.0,45.13,16.63
8,Tajikistan,C.W. OF IND. STATES,7320815.0,143100,51.2,110.76,1000.0,32.65,8.25
9,Guinea-Bissau,SUB-SAHARAN AFRICA,1442029.0,36120,39.9,107.17,800.0,37.22,16.53
10,Djibouti,SUB-SAHARAN AFRICA,486530.0,23000,21.2,104.13,1300.0,39.53,19.31
11,Malawi,SUB-SAHARAN AFRICA,13013926.0,118480,109.8,103.32,600.0,43.13,19.33
12,Bhutan,ASIA,2279723.0,47000,48.5,100.44,1300.0,33.65,12.7
13,Nigeria,SUB-SAHARAN AFRICA,131859731.0,923768,142.7,98.8,900.0,40.43,16.94
14,Tanzania,SUB-SAHARAN AFRICA,37445392.0,945087,39.6,98.54,600.0,37.71,16.39
15,Burkina Faso,SUB-SAHARAN AFRICA,13902972.0,274200,50.7,97.57,1100.0,45.62,15.6
16,Ethiopia,SUB-SAHARAN AFRICA,74777981.0,1127127,66.3,95.32,700.0,37.98,14.86
17,Congo. Dem. Rep.,SUB-SAHARAN AFRICA,62660551.0,2345410,26.7,94.69,700.0,43.69,13.27
18,Congo. Repub. of the,SUB-SAHARAN AFRICA,3702314.0,342000,10.8,93.86,700.0,42.57,12.93
19,Chad,SUB-SAHARAN AFRICA,9944201.0,1284000,7.7,93.82,1200.0,45.73,16.38
20,Rwanda,SUB-SAHARAN AFRICA,8648248.0,26338,328.4,91.23,1300.0,40.37,16.09
21,Central African Rep.,SUB-SAHARAN AFRICA,4303356.0,622984,6.9,91.0,1100.0,33.91,18.65
22,Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843.0,322460,54.8,90.83,1400.0,35.11,14.84
23,Guinea,SUB-SAHARAN AFRICA,9690222.0,245857,39.4,90.37,2100.0,41.76,15.48
24,Zambia,SUB-SAHARAN AFRICA,11502010.0,752614,15.3,88.29,800.0,41.0,19.93
25,Laos,ASIA,6368481.0,236800,26.9,85.22,1700.0,35.49,11.55
26,Equatorial Guinea,SUB-SAHARAN AFRICA,540109.0,28051,19.3,85.13,2700.0,35.59,15.06
27,Benin,SUB-SAHARAN AFRICA,7862944.0,112620,69.8,85.0,1100.0,38.85,12.22
28,Lesotho,SUB-SAHARAN AFRICA,2022331.0,30355,66.6,84.23,3000.0,24.75,28.71
29,Azerbaijan,C.W. OF IND. STATES,7961619.0,86600,91.9,81.74,3400.0,20.74,9.75
30,Madagascar,SUB-SAHARAN AFRICA,18595469.0,587040,31.7,76.83,800.0,41.41,11.11
31,Comoros,SUB-SAHARAN AFRICA,690948.0,2170,318.4,74.93,700.0,36.93,8.2
32,Eritrea,SUB-SAHARAN AFRICA,4786994.0,121320,39.5,74.87,700.0,34.33,9.6
33,Haiti,LATIN AMER. & CARIB,8308504.0,27750,299.4,73.45,1600.0,36.44,12.17
34,Turkmenistan,C.W. OF IND. STATES,5042920.0,488100,10.3,73.08,5800.0,27.61,8.6
35,Pakistan,ASIA,165803560.0,803940,206.2,72.44,2100.0,29.74,8.23
36,Gambia. The,SUB-SAHARAN AFRICA,1641564.0,11300,145.3,72.02,1700.0,39.37,12.25
37,Cambodia,ASIA,13881427.0,181040,76.7,71.48,1900.0,26.9,9.06
38,Uzbekistan,C.W. OF IND. STATES,27307134.0,447400,61.0,71.1,1700.0,26.36,7.84
39,Mauritania,SUB-SAHARAN AFRICA,3177388.0,1030700,3.1,70.89,1800.0,40.99,12.16
40,Burundi,SUB-SAHARAN AFRICA,8090068.0,27830,290.7,69.29,600.0,42.22,13.46
41,Swaziland,SUB-SAHARAN AFRICA,1136334.0,17363,65.5,69.27,4900.0,27.41,29.74
42,Cameroon,SUB-SAHARAN AFRICA,17340702.0,475440,36.5,68.26,1800.0,33.89,13.47
43,Uganda,SUB-SAHARAN AFRICA,28195754.0,236040,119.5,67.83,1400.0,47.35,12.24
44,Zimbabwe,SUB-SAHARAN AFRICA,12236805.0,390580,31.3,67.69,1900.0,28.01,21.84
45,Burma,ASIA,47382633.0,678500,69.8,67.24,1800.0,17.91,9.83
46,Nepal,ASIA,28287147.0,147181,192.2,66.98,1400.0,30.98,9.31
47,Togo,SUB-SAHARAN AFRICA,5548702.0,56785,97.7,66.61,1500.0,37.01,9.83
48,Bangladesh,ASIA,147365352.0,144000,1023.4,62.6,1900.0,15.5,8.27
49,Sudan,SUB-SAHARAN AFRICA,41236378.0,2505810,16.5,62.5,1900.0,34.53,8.97
50,Mayotte,SUB-SAHARAN AFRICA,201234.0,374,538.1,62.4,2600.0,40.95,7.7
51,South Africa,SUB-SAHARAN AFRICA,44187637.0,1219912,36.2,61.81,10700.0,18.2,22.0
52,Yemen,NEAR EAST,21456188.0,527970,40.6,61.5,800.0,42.89,8.3
53,Kenya,SUB-SAHARAN AFRICA,34707817.0,582650,59.6,61.47,1000.0,39.72,14.02
54,Maldives,ASIA,359008.0,300,1196.7,56.52,3900.0,34.81,7.06
55,India,ASIA,1095351995.0,3287590,333.2,56.29,2900.0,22.01,8.18
56,Senegal,SUB-SAHARAN AFRICA,11987121.0,196190,61.1,55.51,1600.0,32.78,9.42
57,Vanuatu,OCEANIA,208869.0,12200,17.1,55.16,2900.0,22.72,7.82
58,Botswana,SUB-SAHARAN AFRICA,1639833.0,600370,2.7,54.58,9000.0,23.08,29.5
59,Mongolia,ASIA,2832224.0,1564116,1.8,53.79,1800.0,21.59,6.95
60,Gabon,SUB-SAHARAN AFRICA,1424906.0,267667,5.3,53.64,5500.0,36.16,12.25
